ProDataCSV

Title: Tue Apr 28 11:31:33 2026 205nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.6293degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-13.5313,522.507,0.420516,7.95662,10000,
20.4193,-13.387,522.415,0.419222,7.97179,10000,
20.7191,-13.5534,522.461,0.419946,7.96279,10000,
21.0687,-13.4435,522.232,0.421674,7.90981,10000,
21.518,-13.4688,522.812,0.421005,7.97621,10000,
21.9671,-13.7453,522.858,0.422059,7.96115,10000,
22.5158,-13.1621,522.629,0.421539,7.94932,10000,
23.0642,-13.1772,522.964,0.422132,7.96977,10000,
23.5625,-13.0091,523.163,0.423146,7.96965,10000,
24.1601,-13.5091,522.797,0.422868,7.94065,10000,
24.7076,-13.135,523.178,0.423336,7.96757,10000,
25.2548,-13.7908,523.346,0.424193,7.96744,10000,
25.8018,-13.2467,523.666,0.426065,7.96278,10000,
26.3484,-12.9888,523.59,0.424728,7.98026,10000,
26.8948,-13.3514,523.087,0.424486,7.93801,10000,
27.4906,-13.175,523.682,0.426331,7.95932,10000,
28.0364,-13.3002,523.788,0.426339,7.96903,10000,
28.582,-13.4804,523.926,0.427343,7.96329,10000,
29.1768,-13.4558,523.911,0.429094,7.92985,10000,
29.7219,-13.0874,524.155,0.429249,7.94942,10000,
30.3161,-13.0464,524.033,0.430591,7.91373,10000,
30.8606,-13.4972,524.124,0.430114,7.93081,10000,
31.4543,-13.2401,524.597,0.431269,7.95293,10000,
31.9983,-13.4602,524.612,0.431148,7.95653,10000,
32.5914,-13.1719,524.445,0.431575,7.93341,10000,
33.1349,-12.7859,524.567,0.432453,7.9285,10000,
33.7275,-13.2097,524.75,0.432725,7.94021,10000,
34.3198,-13.2922,524.628,0.433569,7.9137,10000,
34.8625,-13.1555,525.253,0.433552,7.97083,10000,
35.4542,-12.8296,524.902,0.434083,7.92926,10000,
36.0458,-13.6341,525.436,0.435273,7.95588,10000,
36.637,-12.6332,525.711,0.434679,7.99164,10000,
37.228,-13.4069,525.879,0.435578,7.9903,10000,
37.8187,-12.9635,525.711,0.437162,7.94608,10000,
38.36,-12.4969,526.382,0.438298,7.98564,10000,
38.9502,-12.3294,526.26,0.439686,7.94924,10000,
39.5402,-12.5877,526.81,0.440982,7.9746,10000,
40.1299,-12.7394,526.871,0.441191,7.97621,10000,
40.6703,-13.0901,526.581,0.442263,7.93073,10000,
41.2596,-12.9483,527.298,0.444659,7.95059,10000,
41.8486,-12.9982,527.359,0.443737,7.97291,10000,
42.4375,-12.9423,526.367,0.442612,7.90536,10000,
43.0261,-12.5281,526.657,0.44305,7.92316,10000,
43.6144,-12.7253,527.069,0.443148,7.95797,10000,
44.2026,-12.8356,527.451,0.445266,7.95299,10000,
44.7415,-12.6635,527.557,0.444598,7.97469,10000,
45.3782,-12.8567,527.222,0.447532,7.89147,10000,
45.9168,-12.7026,527.573,0.446044,7.94952,10000,
46.5041,-12.7035,527.267,0.445424,7.9339,10000,
47.0913,-12.458,527.954,0.446795,7.96939,10000,
47.6782,-12.4825,528.442,0.447708,7.99559,10000,
48.2649,-12.521,528.152,0.449033,7.94582,10000,
48.8515,-12.7899,527.847,0.449656,7.90772,10000,
49.4379,-12.4065,528.732,0.452438,7.93419,10000,
50.024,-12.8631,528.824,0.452279,7.94506,10000,
50.61,-12.1845,528.656,0.451842,7.93844,10000,
51.1959,-12.568,529.007,0.453897,7.93139,10000,
51.7815,-12.5041,529.327,0.454391,7.95012,10000,
52.367,-12.5854,529.48,0.455463,7.94369,10000,
52.9523,-12.4944,529.541,0.455553,7.94732,10000,
53.5375,-12.7892,529.51,0.455207,7.95101,10000,
54.1225,-12.3994,530.06,0.457461,7.95708,10000,
54.7073,-12.1332,529.77,0.457693,7.92793,10000,
55.2921,-12.1414,530.304,0.458779,7.95388,10000,
55.8766,-12.4059,530.426,0.458898,7.96218,10000,
56.461,-12.5305,530.151,0.459352,7.93034,10000,
57.0453,-12.7269,530.609,0.460262,7.95284,10000,
57.6295,-12.2906,530.777,0.461452,7.94538,10000,
58.2135,-12.56,531.265,0.462438,7.96886,10000,
58.7974,-12.0247,531.097,0.462877,7.94656,10000,
59.3811,-12.7719,531.113,0.463451,7.93736,10000,
60.0134,-12.1491,531.586,0.465279,7.94396,10000,
