ProDataCSV

Title: Tue Apr 28 11:31:33 2026 71.0119C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,70.8907,-3.52609,422.363,0.103343,8.00121,10000,
239,70.8907,-4.11669,422.943,0.106007,7.95021,10000,
238,70.8907,-4.88425,424.774,0.111347,7.94084,10000,
237,70.8907,-5.61863,427.002,0.115612,7.92642,10000,
236,70.8907,-6.87484,429.855,0.117092,7.95363,10000,
235,70.8907,-7.68476,434.143,0.126962,7.96978,10000,
234,70.9392,-8.92816,437.958,0.129449,7.96719,10000,
233,70.9392,-9.8686,440.292,0.133468,7.94664,10000,
232,70.9392,-11.4114,443.42,0.142993,7.94538,10000,
231,70.9392,-12.5007,446.548,0.152065,7.94745,10000,
230,70.9392,-13.8098,450.027,0.160401,7.9775,10000,
229,70.9392,-15.0506,452.942,0.166221,7.94645,10000,
228,70.9877,-16.0774,456.757,0.174814,7.93621,10000,
227,70.9877,-16.9722,460.297,0.182289,7.96202,10000,
226,70.9877,-17.6221,463.15,0.182242,7.93536,10000,
225,70.9877,-18.0635,464.737,0.192829,7.75743,10000,
224,70.9877,-18.4315,470.673,0.195527,7.97313,10000,
223,70.9877,-18.5455,474.197,0.200328,7.98196,10000,
222,70.9877,-18.1635,477.707,0.206453,7.99462,10000,
221,71.0362,-18.232,481.277,0.216706,7.98034,10000,
220,71.0362,-18.446,484.68,0.222479,7.97534,10000,
219,71.0362,-18.0923,487.915,0.230587,7.94359,10000,
218,71.0362,-17.9048,491.425,0.235088,7.96466,10000,
217,71.0362,-17.231,494.69,0.243257,7.96851,10000,
216,71.0362,-17.3376,497.849,0.254715,7.92822,10000,
215,71.0847,-17.3414,501.236,0.26346,7.99669,10000,
214,71.0847,-17.1505,502.716,0.275869,7.93828,10000,
213,71.0847,-17.4332,505.051,0.289571,7.94897,10000,
212,71.0847,-17.9879,506.836,0.304308,7.83839,10000,
211,71.0847,-18.355,510.147,0.322311,7.97101,10000,
210,71.0847,-18.6758,512.848,0.33999,7.9382,10000,
209,71.1332,-19.0504,516.708,0.364672,7.94842,10000,
208,71.1332,-18.1201,520.248,0.388591,7.92387,10000,
207,71.1332,-16.9798,525.421,0.418388,7.98469,10000,
206,71.1332,-14.4966,530.701,0.449775,7.97132,10000,
205,71.1332,-11.8545,536.057,0.48596,7.93446,10000,
204,71.1332,-8.6224,542.694,0.523679,7.94801,10000,
203,71.1332,-4.10641,550.354,0.566338,7.91861,10000,
202,71.1332,0.379806,560.822,0.61295,7.98792,10000,
201,71.1817,5.35268,566.788,0.665603,7.91295,10000,
200,71.1817,10.8895,573.761,0.724965,7.93728,10000,
199,71.1817,17.0027,581.512,0.788916,7.93626,10000,
198,71.1817,23.8091,591.171,0.857131,7.9532,10000,
197,71.2302,27.5614,601.761,0.927609,7.95742,10000,
196,71.2302,32.0501,613.663,1.00166,7.9037,10000,
195,71.2302,34.3175,625.61,1.07306,7.9081,10000,
194,71.2302,34.7348,633.209,1.15124,7.92904,10000,
193,71.2302,35.9284,641.266,1.22775,7.89336,10000,
192,71.2302,36.2046,651.611,1.30883,7.92711,10000,
191,71.2787,34.9453,664.886,1.39554,7.94746,10000,
190,71.2787,32.6668,681.747,1.49496,7.9193,10000,
