Wavelength,MRE
260,-62.40183622948421
259,-69.32453504429922
258,-76.18937796306668
257,-83.72747385216304
256,-92.66993157796408
255,-101.19620125427913
254,-121.90907992094563
253,-133.32834353937108
252,-114.47244782633
251,-179.84766633053206
250,-217.44806807033927
249,-262.08513552754414
248,-316.98247715530624
247,-391.9227488135695
246,-567.5215608490497
245,-743.9698373003412
244,-965.3910120211627
243,-1323.00621984438
242,-1679.0580782010559
241,-2121.0236134130064
240,-2686.4042625004636
239,-3389.7206730999
238,-4324.453665129778
237,-5334.955904074066
236,-6505.787073128531
235,-7870.65220825209
234,-9384.262043856192
233,-11072.120321986287
232,-12885.378247885446
231,-14737.043379566734
230,-16603.588001937725
229,-18347.218974278218
228,-19921.459419563616
227,-21242.347285539337
226,-22388.45509867348
225,-23175.247910924954
224,-23642.933116567656
223,-23826.649135276028
222,-23784.07217331213
221,-23555.45015182131
220,-23180.43430740488
219,-22730.04828438901
218,-22291.931471789565
217,-21774.22426181758
216,-21337.116591808237
215,-21080.69305239337
214,-20957.127672113253
213,-21078.47219955801
212,-21361.070386685304
211,-21786.03943554929
210,-22031.68972744472
209,-21773.132260659786
208,-20838.55728698409
207,-18966.01341836287
206,-16112.182647440375
205,-12403.36601547337
204,-7822.654920543405
203,-2525.1986737989378
202,3581.163892957978
201,10565.738930757532
200,18118.952618304982
199,25928.244666487353
198,33394.377008718904
197,39934.16510906934
196,45164.25652245246
195,48881.093483473305
194,51160.77692659189
193,52175.083451951374
192,51862.320243305236
191,50513.31360369117
190,48095.33721679419
189,45003.06574646118
188,41272.985190052845
187,37304.66671939615
186,33178.886480473026
185,29370.33767142043
184,25926.547908858975
183,23369.659967000305
182,22138.677645878823
181,22645.257782923025
180,25301.05721556137
